Camera URL,Quadrant,Camera Location,Point,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017,Ward Boundaries
Camera 30 (http://trafficcam.calgary.ca/loc29.jpg),SE,114 Avenue / 52 Street SE,POINT (-113.958331 50.9504395),3,79,8,4
Camera 140 (http://trafficcam.calgary.ca/loc139.jpg),SW,162 Avenue / James McKevitt Road SW,POINT (-114.0992225 50.9054342),1,39,6,5
Camera 90 (http://trafficcam.calgary.ca/loc89.jpg),NW/NE,Samis Road / Centre Street North,POINT (-114.0624739 51.0549834),2,62,7,7
Camera 38 (https://trafficcam.calgary.ca/loc37.jpg),NW,Crowchild Trail / Shaganappi Trail NW,POINT (-114.149379 51.0988494),2,38,4,7
Camera 126 (http://trafficcam.calgary.ca/loc125.jpg),SW,Bow Trail / Sarcee Trail SW,POINT (-114.1639913 51.0527426),1,170,2,14
Camera 104 (http://trafficcam.calgary.ca/loc103.jpg),SW/SE,58 Avenue / Macleod Trail S,POINT (-114.071734 51.0014567),1,144,5,8
Camera 17 (http://trafficcam.calgary.ca/loc16.jpg),NW,24 Avenue / Crowchild Trail NW,POINT (-114.1182195 51.0741894),2,153,7,7
Camera 114 (http://trafficcam.calgary.ca/loc113.jpg),NE,Airport Trail / 36 Street NE,POINT (-113.9816889 51.1397793),4,86,1,11
Camera 35 (http://trafficcam.calgary.ca/loc34.jpg),SE,11 Avenue / Macleod Trail S,POINT (-114.0583524 51.042248),3,260,5,14
Camera 60 (http://trafficcam.calgary.ca/loc59.jpg),NW,Memorial Drive / 9 Street NW,POINT (-114.0811808 51.0536259),2,62,7,7
Camera 113 (http://trafficcam.calgary.ca/loc112.jpg),SW,Flanders Avenue / Crowchild Trail SW,POINT (-114.1173771 51.0157852),1,201,2,8
Camera 155 (http://trafficcam.calgary.ca/loc154.jpg),NW,Charleswood Dr / John Laurie Bv NW,POINT (-114.1165044 51.0967191),2,125,4,7
Camera 79 (http://trafficcam.calgary.ca/loc78.jpg),NW,Country Hills Blvd / Royal Birch Blvd NW,POINT (-114.2130566 51.1498531),2,157,9,3
Camera 18 (http://trafficcam.calgary.ca/loc17.jpg),SE,Memorial Drive / Deerfoot Trail SE,POINT (-114.0181691 51.0478522),3,137,11,10
Camera 51 (http://trafficcam.calgary.ca/loc50.jpg),NE,16 Avenue / Deerfoot Trail NE,POINT (-114.0281359 51.067286),4,88,7,10
Camera 37 (http://trafficcam.calgary.ca/loc36.jpg),SE,5 Avenue / 1 Street SE,POINT (-114.0603862 51.0483314),3,262,7,7
Camera 85 (http://trafficcam.calgary.ca/loc84.jpg),NE,Stoney Trail / Deerfoot Trail NE,POINT (-114.0013849 51.1752086),4,243,12,11
Camera 28 (http://trafficcam.calgary.ca/loc27.jpg),SW/SE,Glenmore Trail / Macleod Trail S (West),POINT (-114.071551 50.9939175),3,120,5,8
Camera 44 (http://trafficcam.calgary.ca/loc43.jpg),SE,8 Avenue / 12 Street SE,POINT (-114.0335844 51.042036),3,54,11,10
Camera 131 (http://trafficcam.calgary.ca/loc130.jpg),SE,Stoney Trail / Chaparral Blvd SE,POINT (-114.0256459 50.8888807),3,130,13,6
Camera 16 (http://trafficcam.calgary.ca/loc15.jpg),SW,Glenmore Trail / Crowchild Trail SW,POINT (-114.1180484 51.0000379),1,129,5,8
Camera 74 (http://trafficcam.calgary.ca/loc73.jpg),NE,Country Hills Blvd / 36 Street NE,POINT (-113.9817289 51.1543016),4,86,1,11
Camera 116 (http://trafficcam.calgary.ca/loc115.jpg),NE,McKnight Blvd / Stoney Trail NE,POINT (-113.915867 51.0967588),4,258,3,9
Camera 154 (http://trafficcam.calgary.ca/loc153.jpg),NW,Country Hills Bv/ Sarcee Tr NW,POINT (-114.1645796 51.1374967),2,248,10,3
Camera 20 (http://trafficcam.calgary.ca/loc19.jpg),SE,22 Avenue / Deerfoot Trail SE,POINT (-113.9947155 51.0337749),3,15,11,12
Camera 121 (http://trafficcam.calgary.ca/loc120.jpg),SW,Anderson Road / 14 Street SW,POINT (-114.0944192 50.950741),1,7,5,8
Camera 2 (http://trafficcam.calgary.ca/loc1.jpg),SE,Peigan Trail / Barlow Trail SE,POINT (-114.0026887 51.0149725),3,102,11,10
Camera 95 (http://trafficcam.calgary.ca/loc94.jpg),NW,16 Avenue / Home Rd NW,POINT (-114.1643274 51.0726124),2,24,7,13
Camera 110 (http://trafficcam.calgary.ca/loc109.jpg),SE,Barlow Trail / Deerfoot Trail SE,POINT (-113.9814887 50.9447422),3,79,8,4
Camera 64 (http://trafficcam.calgary.ca/loc63.jpg),NE,McKnight Blvd / Metis Trail NE,POINT (-113.9807844 51.0957002),4,145,3,9
Camera 149 (http://trafficcam.calgary.ca/loc148.jpg),NE,64 Avenue / Falconridge Blvd NE,POINT (-113.9467072 51.1107618),4,26,1,11
Camera 56 (http://trafficcam.calgary.ca/loc55.jpg),SW,4 Avenue / 10 Street SW,POINT (-114.0868196 51.0491768),1,45,2,14
Camera 135 (http://trafficcam.calgary.ca/loc134.jpg),NW,Crowchild Trail / Stoney Trail NW,POINT (-114.2310015 51.1328769),2,252,9,3
Camera 128 (http://trafficcam.calgary.ca/loc127.jpg),NW/NE,16 Avenue / Centre Street N,POINT (-114.0626323 51.0667995),2,266,7,7
Camera 136 (http://trafficcam.calgary.ca/loc135.jpg),NW,Stoney Trail / Country Hills Blvd NW,POINT (-114.2032242 51.1445959),2,247,10,3
Camera 105 (http://trafficcam.calgary.ca/loc104.jpg),SW,Anderson Road / 24 Street SW,POINT (-114.1175273 50.9507798),1,23,5,8
Camera 43 (http://trafficcam.calgary.ca/loc42.jpg),NW,Beddington Trail / Country Hills Blvd NW,POINT (-114.0922392 51.1438922),2,172,12,2
Camera 78 (http://trafficcam.calgary.ca/loc77.jpg),SE,17 Avenue / 52 Street SE,POINT (-113.9582468 51.0378098),3,97,11,12
Camera 5 (http://trafficcam.calgary.ca/loc4.jpg),NW,Kensington Road / Crowchild Trail NW,POINT (-114.1180882 51.0524874),2,280,7,7
Camera 83 (http://trafficcam.calgary.ca/loc82.jpg),SE,58 Avenue / Blackfoot Trail SE,POINT (-114.0490102 51.001302),3,160,11,10
Camera 71 (http://trafficcam.calgary.ca/loc70.jpg),NE,16 Avenue / 19 Street NE,POINT (-114.0140245 51.0670373),4,141,3,9
Camera 123 (http://trafficcam.calgary.ca/loc122.jpg),SW,5 Avenue / 5 Street SW,POINT (-114.0736443 51.0486767),1,262,2,14
Camera 92 (http://trafficcam.calgary.ca/loc91.jpg),SE,9 Avenue / 3 Street SE,POINT (-114.0556637 51.0443901),3,65,7,7
Camera 19 (http://trafficcam.calgary.ca/loc18.jpg),SE,17 Avenue / Deerfoot Trail SE,POINT (-114.0050859 51.0368026),3,15,11,10
Camera 52 (http://trafficcam.calgary.ca/loc51.jpg),NE,McKnight Blvd / Deerfoot Trail NE,POINT (-114.0404543 51.0960482),4,81,3,9
Camera 87 (http://trafficcam.calgary.ca/loc86.jpg),SE,Stoney Trail / Deerfoot Trail SE,POINT (-113.9766063 50.9007257),3,296,13,4
Camera 10 (http://trafficcam.calgary.ca/loc9.jpg),SW/SE,Bannister Road / Macleod Trail S,POINT (-114.0716512 50.9251547),1,32,6,5
Camera 142 (http://trafficcam.calgary.ca/loc141.jpg),SW,90 Avenue / 24 Street SW,POINT (-114.1177502 50.9724213),1,169,5,8
Camera 29 (http://trafficcam.calgary.ca/loc28.jpg),SW,Glenmore Trail / 1A Street SW,POINT (-114.0673324 50.9943602),1,160,11,10
Camera 31 (http://trafficcam.calgary.ca/loc30.jpg),NE,Memorial Drive / Edmonton Trail NE,POINT (-114.0501357 51.0508018),4,137,11,10
Camera 11 (http://trafficcam.calgary.ca/loc10.jpg),SE,130 Avenue / Deerfoot Trail SE,POINT (-113.9750552 50.9319613),3,79,8,4
Camera 94 (http://trafficcam.calgary.ca/loc93.jpg),NE,16 Avenue / Barlow Trail NE,POINT (-114.0020863 51.0667728),4,140,3,12
Camera 47 (http://trafficcam.calgary.ca/loc46.jpg),SE,25 Avenue / Spiller Road SE,POINT (-114.0501597 51.0297595),3,132,11,10
Camera 89 (http://trafficcam.calgary.ca/loc88.jpg),SW/SE,Lake Fraser Gate / Macleod Trail SE,POINT (-114.0694135 50.939421),1,283,6,5
Camera 144 (http://trafficcam.calgary.ca/loc143.jpg),SE,17 Avenue / Macleod Trail SE,POINT (-114.0587094 51.0378583),3,260,5,14
Camera 27 (http://trafficcam.calgary.ca/loc26.jpg),SW,5 Avenue btw 1 Street & 2 Street SW,POINT (-114.06642 51.0484854),1,262,7,7
Camera 129 (http://trafficcam.calgary.ca/loc128.jpg),SE,Glenmore Trail / Stoney Trail SE,POINT (-113.9292632 50.9796349),3,104,8,10
Camera 73 (http://trafficcam.calgary.ca/loc72.jpg),NW,Stoney Trail / Sarcee Trail NW,POINT (-114.164821 51.1530825),2,202,10,3
Camera 91 (http://trafficcam.calgary.ca/loc90.jpg),SW/SE,210 Avenue / Macleod Trail SE,POINT (-114.0379767 50.8661576),3,133,6,6
Camera 112 (http://trafficcam.calgary.ca/loc111.jpg),SW,Glenmore Trail / 14 Street SW (West),POINT (-114.0949781 50.9938095),1,29,5,8
Camera 132 (http://trafficcam.calgary.ca/loc131.jpg),SW,Richmond Road / Sarcee Trail SW,POINT (-114.1661897 51.0178524),1,278,14,1
Camera 68 (http://trafficcam.calgary.ca/loc67.jpg),NE,64 Avenue / Deerfoot Trail NE,POINT (-114.0480321 51.1105064),4,112,4,2
Camera 137 (http://trafficcam.calgary.ca/loc136.jpg),NW/NE,Stoney Trail / Harvest Hills Blvd N,POINT (-114.0689009 51.1734005),4,235,12,11
Camera 76 (http://trafficcam.calgary.ca/loc75.jpg),SW,5 Avenue / 7 Street SW,POINT (-114.0786008 51.04882),1,262,2,14
Camera 67 (http://trafficcam.calgary.ca/loc66.jpg),NE,Country Hills Blvd / Deerfoot Trail NE,POINT (-114.0173379 51.1543285),4,6,1,11
Camera 93 (http://trafficcam.calgary.ca/loc92.jpg),NE,McKnight Boulevard / Barlow Trail NE,POINT (-114.0018281 51.0927921),4,82,1,11
Camera 39 (http://trafficcam.calgary.ca/loc38.jpg),NE,16 Avenue / 36 Street NE,POINT (-113.9814146 51.066945),4,77,3,9
Camera 21 (http://trafficcam.calgary.ca/loc20.jpg),SE,34 Avenue / Deerfoot Trail SE,POINT (-113.9998411 51.0232852),3,196,11,10
Camera 33 (http://trafficcam.calgary.ca/loc32.jpg),SE,6 Avenue / 1 Street SE,POINT (-114.0606748 51.0472376),3,262,7,7
Camera 150 (http://trafficcam.calgary.ca/loc149.jpg),NW,Country Hills Blvd / Shaganappi Tr NW,POINT (-114.123785 51.1423937),2,272,4,2
Camera 82 (http://trafficcam.calgary.ca/loc81.jpg),SW/SE,25 Avenue / Macleod Trail SE,POINT (-114.0598396 51.0304732),1,187,5,10
Camera 46 (http://trafficcam.calgary.ca/loc45.jpg),NE,32 Avenue / 52 Street NE,POINT (-113.9582969 51.0815778),4,22,3,9
Camera 9 (http://trafficcam.calgary.ca/loc8.jpg),SW/SE,Heritage Drive / Macleod Trail S,POINT (-114.0717745 50.9793867),1,195,5,8
Camera 151 (http://trafficcam.calgary.ca/loc150.jpg),NW,64 Avenue / 14 Street NW,POINT (-114.0832168 51.1092691),2,261,4,2
Camera 12 (http://trafficcam.calgary.ca/loc11.jpg),SW/SE,149 Avenue / Macleod Trail S,POINT (-114.0703057 50.9188866),3,263,13,6
Camera 81 (http://trafficcam.calgary.ca/loc80.jpg),SE,12 Avenue / Olympic Way SE,POINT (-114.0534925 51.0411473),3,260,5,14
Camera 86 (http://trafficcam.calgary.ca/loc85.jpg),NW,16 Avenue / Stoney Trail NW,POINT (-114.2317849 51.0886513),2,282,9,13
Camera 115 (http://trafficcam.calgary.ca/loc114.jpg),NE,Airport Trail / Barlow Trail NE,POINT (-114.0014507 51.1393524),4,86,1,11
Camera 36 (http://trafficcam.calgary.ca/loc35.jpg),NW,Memorial Drive / 10 Street NW,POINT (-114.0858242 51.0519424),2,40,7,7
Camera 66 (http://trafficcam.calgary.ca/loc65.jpg),NE,16 Avenue / Edmonton Trail NE,POINT (-114.0562102 51.0668211),4,266,7,7
Camera 41 (http://trafficcam.calgary.ca/loc40.jpg),SE,Highfield Road / Blackfoot Trail SE,POINT (-114.047906 51.0210672),3,75,11,10
